Category,Sample,method,R1_R2_reads_combined,sample_proportion,R1_R2_read_proportion
0363146969_S80_L001_R1_001.fastp.fastq.gz,363146969_R1,Fluorescent Quantification,15966,0.348213654,0.348213654
0363237606_S185_L001_R1_001.fastp.fastq.gz,363237606_R1,Fluorescent Quantification,15956,0.347995558,0.347995558
0363146992_S306_L001_R1_001.fastp.fastq.gz,363146992_R1,Fluorescent Quantification,15812,0.344854962,0.344854962
0363239004_S307_L001_R1_001.fastp.fastq.gz,363239004_R1,Fluorescent Quantification,15760,0.343720856,0.343720856
0363148431_S355_L001_R1_001.fastp.fastq.gz,363148431_R1,Fluorescent Quantification,15754,0.343589998,0.343589998
0363238260_S13_L001_R1_001.fastp.fastq.gz,363238260_R1,Fluorescent Quantification,15640,0.341103692,0.341103692
0363238215_S334_L001_R1_001.fastp.fastq.gz,363238215_R1,Fluorescent Quantification,15240,0.332379814,0.332379814
0363148430_S122_L001_R1_001.fastp.fastq.gz,363148430_R1,Fluorescent Quantification,15214,0.331812762,0.331812762
0363148441_S121_L001_R1_001.fastp.fastq.gz,363148441_R1,Fluorescent Quantification,15148,0.33037332,0.33037332
0363236863_S162_L001_R1_001.fastp.fastq.gz,363236863_R1,Fluorescent Quantification,15096,0.329239216,0.329239216
0363148437_S366_L001_R1_001.fastp.fastq.gz,363148437_R1,Fluorescent Quantification,14980,0.326709292,0.326709292
0363148417_S258_L001_R1_001.fastp.fastq.gz,363148417_R1,Fluorescent Quantification,14804,0.322870784,0.322870784
0363236837_S216_L001_R1_001.fastp.fastq.gz,363236837_R1,Fluorescent Quantification,14782,0.322390972,0.322390972
0363237853_S341_L001_R1_001.fastp.fastq.gz,363237853_R1,Fluorescent Quantification,14678,0.320122762,0.320122762
0363236784_S135_L001_R1_001.fastp.fastq.gz,363236784_R1,Fluorescent Quantification,14270,0.311224406,0.311224406
0363237185_S310_L001_R1_001.fastp.fastq.gz,363237185_R1,Fluorescent Quantification,14150,0.308607242,0.308607242
0363238224_S32_L001_R1_001.fastp.fastq.gz,363238224_R1,Fluorescent Quantification,13998,0.305292168,0.305292168
0363238220_S68_L001_R1_001.fastp.fastq.gz,363238220_R1,Fluorescent Quantification,13924,0.30367825,0.30367825
0363237241_S315_L001_R1_001.fastp.fastq.gz,363237241_R1,Fluorescent Quantification,13890,0.30293672,0.30293672
0363148368_S367_L001_R1_001.fastp.fastq.gz,363148368_R1,Fluorescent Quantification,13880,0.302718622,0.302718622
0363148445_S112_L001_R1_001.fastp.fastq.gz,363148445_R1,Fluorescent Quantification,13798,0.300930228,0.300930228
0363148386_S233_L001_R1_001.fastp.fastq.gz,363148386_R1,Fluorescent Quantification,13606,0.296742766,0.296742766
0363146929_S19_L001_R1_001.fastp.fastq.gz,363146929_R1,Fluorescent Quantification,13382,0.291857392,0.291857392
0363236805_S358_L001_R1_001.fastp.fastq.gz,363236805_R1,Fluorescent Quantification,13338,0.290897766,0.290897766
