Category,Sample,method,total_reads,proportion
0363237596_S113_L001_R1_001.fastp.fastq.gz,363237596_R1,Fluorescent Quantification,16197,0.353251695
0363237596_S113_L001_R2_001.fastp.fastq.gz,363237596_R1,Fluorescent Quantification,16197,0.353251695
0363237597_S169_L001_R1_001.fastp.fastq.gz,363237597_R1,Fluorescent Quantification,2324,0.050685741
0363237597_S169_L001_R2_001.fastp.fastq.gz,363237597_R1,Fluorescent Quantification,2324,0.050685741
0363237598_S178_L001_R1_001.fastp.fastq.gz,363237598_R1,Fluorescent Quantification,3618,0.078907491
0363237598_S178_L001_R2_001.fastp.fastq.gz,363237598_R1,Fluorescent Quantification,3618,0.078907491
0363237599_S379_L001_R1_001.fastp.fastq.gz,363237599_R1,Fluorescent Quantification,3125,0.068155309
0363237599_S379_L001_R2_001.fastp.fastq.gz,363237599_R1,Fluorescent Quantification,3125,0.068155309
0363237603_S100_L001_R1_001.fastp.fastq.gz,363237603_R1,Fluorescent Quantification,4686,0.10220025
0363237603_S100_L001_R2_001.fastp.fastq.gz,363237603_R1,Fluorescent Quantification,4686,0.10220025
0363237604_S99_L001_R1_001.fastp.fastq.gz,363237604_R1,Fluorescent Quantification,3782,0.082484282
0363237604_S99_L001_R2_001.fastp.fastq.gz,363237604_R1,Fluorescent Quantification,3782,0.082484282
0363237605_S188_L001_R1_001.fastp.fastq.gz,363237605_R1,Fluorescent Quantification,4666,0.101764056
0363237605_S188_L001_R2_001.fastp.fastq.gz,363237605_R1,Fluorescent Quantification,4666,0.101764056
0363237606_S185_L001_R1_001.fastp.fastq.gz,363237606_R1,Fluorescent Quantification,7978,0.173997779
0363237606_S185_L001_R2_001.fastp.fastq.gz,363237606_R1,Fluorescent Quantification,7978,0.173997779
0363237608_S104_L001_R1_001.fastp.fastq.gz,363237608_R1,Fluorescent Quantification,2029,0.044251879
0363237608_S104_L001_R2_001.fastp.fastq.gz,363237608_R1,Fluorescent Quantification,2029,0.044251879
0363237610_S101_L001_R1_001.fastp.fastq.gz,363237610_R1,Fluorescent Quantification,5558,0.121218307
0363237610_S101_L001_R2_001.fastp.fastq.gz,363237610_R1,Fluorescent Quantification,5558,0.121218307
0363237611_S191_L001_R1_001.fastp.fastq.gz,363237611_R1,Fluorescent Quantification,2738,0.059714956
0363237611_S191_L001_R2_001.fastp.fastq.gz,363237611_R1,Fluorescent Quantification,2738,0.059714956
0363237612_S129_L001_R1_001.fastp.fastq.gz,363237612_R1,Fluorescent Quantification,7992,0.174303115
0363237612_S129_L001_R2_001.fastp.fastq.gz,363237612_R1,Fluorescent Quantification,7992,0.174303115
0363237613_S182_L001_R1_001.fastp.fastq.gz,363237613_R1,Fluorescent Quantification,4426,0.096529728
0363237613_S182_L001_R2_001.fastp.fastq.gz,363237613_R1,Fluorescent Quantification,4426,0.096529728
0363237614_S108_L001_R1_001.fastp.fastq.gz,363237614_R1,Fluorescent Quantification,5198,0.113366816
0363237614_S108_L001_R2_001.fastp.fastq.gz,363237614_R1,Fluorescent Quantification,5198,0.113366816
0363237619_S166_L001_R1_001.fastp.fastq.gz,363237619_R1,Fluorescent Quantification,5218,0.11380301
0363237619_S166_L001_R2_001.fastp.fastq.gz,363237619_R1,Fluorescent Quantification,5218,0.11380301
0363237620_S154_L001_R1_001.fastp.fastq.gz,363237620_R1,Fluorescent Quantification,393,0.008571212
0363237620_S154_L001_R2_001.fastp.fastq.gz,363237620_R1,Fluorescent Quantification,393,0.008571212
0363237622_S177_L001_R1_001.fastp.fastq.gz,363237622_R1,Fluorescent Quantification,1524,0.033237981
0363237622_S177_L001_R2_001.fastp.fastq.gz,363237622_R1,Fluorescent Quantification,1524,0.033237981
0363237623_S363_L001_R1_001.fastp.fastq.gz,363237623_R1,Fluorescent Quantification,8430,0.183855763
0363237623_S363_L001_R2_001.fastp.fastq.gz,363237623_R1,Fluorescent Quantification,8430,0.183855763
0363237629_S97_L001_R1_001.fastp.fastq.gz,363237629_R1,Fluorescent Quantification,2943,0.064185944
0363237629_S97_L001_R2_001.fastp.fastq.gz,363237629_R1,Fluorescent Quantification,2943,0.064185944
0363237630_S157_L001_R1_001.fastp.fastq.gz,363237630_R1,Fluorescent Quantification,26,0.000567052
0363237630_S157_L001_R2_001.fastp.fastq.gz,363237630_R1,Fluorescent Quantification,26,0.000567052
0363237839_S172_L001_R1_001.fastp.fastq.gz,363237839_R1,Fluorescent Quantification,2869,0.062572027
0363237839_S172_L001_R2_001.fastp.fastq.gz,363237839_R1,Fluorescent Quantification,2869,0.062572027
0363237853_S341_L001_R1_001.fastp.fastq.gz,363237853_R1,Fluorescent Quantification,7339,0.160061381
0363237853_S341_L001_R2_001.fastp.fastq.gz,363237853_R1,Fluorescent Quantification,7339,0.160061381
0363237871_S134_L001_R1_001.fastp.fastq.gz,363237871_R1,Fluorescent Quantification,4044,0.088198423
0363237871_S134_L001_R2_001.fastp.fastq.gz,363237871_R1,Fluorescent Quantification,4044,0.088198423
0363237876_S136_L001_R1_001.fastp.fastq.gz,363237876_R1,Fluorescent Quantification,4993,0.108895827
0363237876_S136_L001_R2_001.fastp.fastq.gz,363237876_R1,Fluorescent Quantification,4993,0.108895827
0363237883_S151_L001_R1_001.fastp.fastq.gz,363237883_R1,Fluorescent Quantification,8881,0.193691937
0363237883_S151_L001_R2_001.fastp.fastq.gz,363237883_R1,Fluorescent Quantification,8881,0.193691937
0363237887_S382_L001_R1_001.fastp.fastq.gz,363237887_R1,Fluorescent Quantification,4052,0.0883729
0363237887_S382_L001_R2_001.fastp.fastq.gz,363237887_R1,Fluorescent Quantification,4052,0.0883729
0363237912_S117_L001_R1_001.fastp.fastq.gz,363237912_R1,Fluorescent Quantification,8318,0.181413077
0363237912_S117_L001_R2_001.fastp.fastq.gz,363237912_R1,Fluorescent Quantification,8318,0.181413077
0363237921_S98_L001_R1_001.fastp.fastq.gz,363237921_R1,Fluorescent Quantification,4518,0.09853622
0363237921_S98_L001_R2_001.fastp.fastq.gz,363237921_R1,Fluorescent Quantification,4518,0.09853622
0363238211_S48_L001_R1_001.fastp.fastq.gz,363238211_R1,Fluorescent Quantification,3250,0.070881522
0363238211_S48_L001_R2_001.fastp.fastq.gz,363238211_R1,Fluorescent Quantification,3250,0.070881522
0363238212_S336_L001_R1_001.fastp.fastq.gz,363238212_R1,Fluorescent Quantification,5796,0.126409016
0363238212_S336_L001_R2_001.fastp.fastq.gz,363238212_R1,Fluorescent Quantification,5796,0.126409016
0363238213_S70_L001_R1_001.fastp.fastq.gz,363238213_R1,Fluorescent Quantification,9866,0.215174491
0363238213_S70_L001_R2_001.fastp.fastq.gz,363238213_R1,Fluorescent Quantification,9866,0.215174491
0363238214_S46_L001_R1_001.fastp.fastq.gz,363238214_R1,Fluorescent Quantification,8155,0.177858096
0363238214_S46_L001_R2_001.fastp.fastq.gz,363238214_R1,Fluorescent Quantification,8155,0.177858096
0363238215_S334_L001_R1_001.fastp.fastq.gz,363238215_R1,Fluorescent Quantification,7620,0.166189907
0363238215_S334_L001_R2_001.fastp.fastq.gz,363238215_R1,Fluorescent Quantification,7620,0.166189907
0363238216_S3_L001_R1_001.fastp.fastq.gz,363238216_R1,Fluorescent Quantification,8464,0.184597293
0363238216_S3_L001_R2_001.fastp.fastq.gz,363238216_R1,Fluorescent Quantification,8464,0.184597293
0363238219_S89_L001_R1_001.fastp.fastq.gz,363238219_R1,Fluorescent Quantification,2284,0.049813353
0363238219_S89_L001_R2_001.fastp.fastq.gz,363238219_R1,Fluorescent Quantification,2284,0.049813353
0363238220_S68_L001_R1_001.fastp.fastq.gz,363238220_R1,Fluorescent Quantification,6962,0.151839125
0363238220_S68_L001_R2_001.fastp.fastq.gz,363238220_R1,Fluorescent Quantification,6962,0.151839125
0363238221_S90_L001_R1_001.fastp.fastq.gz,363238221_R1,Fluorescent Quantification,1565,0.034132179
0363238221_S90_L001_R2_001.fastp.fastq.gz,363238221_R1,Fluorescent Quantification,1565,0.034132179
0363238222_S12_L001_R1_001.fastp.fastq.gz,363238222_R1,Fluorescent Quantification,4249,0.092669411
0363238222_S12_L001_R2_001.fastp.fastq.gz,363238222_R1,Fluorescent Quantification,4249,0.092669411
0363238223_S11_L001_R1_001.fastp.fastq.gz,363238223_R1,Fluorescent Quantification,5634,0.122875844
0363238223_S11_L001_R2_001.fastp.fastq.gz,363238223_R1,Fluorescent Quantification,5634,0.122875844
0363238224_S32_L001_R1_001.fastp.fastq.gz,363238224_R1,Fluorescent Quantification,6999,0.152646084
0363238224_S32_L001_R2_001.fastp.fastq.gz,363238224_R1,Fluorescent Quantification,6999,0.152646084
0363238227_S49_L001_R1_001.fastp.fastq.gz,363238227_R1,Fluorescent Quantification,10293,0.224487232
0363238227_S49_L001_R2_001.fastp.fastq.gz,363238227_R1,Fluorescent Quantification,10293,0.224487232
0363238228_S28_L001_R1_001.fastp.fastq.gz,363238228_R1,Fluorescent Quantification,13610,0.296830004
0363238228_S28_L001_R2_001.fastp.fastq.gz,363238228_R1,Fluorescent Quantification,13610,0.296830004
0363238229_S75_L001_R1_001.fastp.fastq.gz,363238229_R1,Fluorescent Quantification,11980,0.261280194
0363238229_S75_L001_R2_001.fastp.fastq.gz,363238229_R1,Fluorescent Quantification,11980,0.261280194
0363238230_S2_L001_R1_001.fastp.fastq.gz,363238230_R1,Fluorescent Quantification,8291,0.180824215
0363238230_S2_L001_R2_001.fastp.fastq.gz,363238230_R1,Fluorescent Quantification,8291,0.180824215
0363238231_S27_L001_R1_001.fastp.fastq.gz,363238231_R1,Fluorescent Quantification,10075,0.219732718
0363238231_S27_L001_R2_001.fastp.fastq.gz,363238231_R1,Fluorescent Quantification,10075,0.219732718
0363238232_S72_L001_R1_001.fastp.fastq.gz,363238232_R1,Fluorescent Quantification,5912,0.128938941
0363238232_S72_L001_R2_001.fastp.fastq.gz,363238232_R1,Fluorescent Quantification,5912,0.128938941
0363238235_S41_L001_R1_001.fastp.fastq.gz,363238235_R1,Fluorescent Quantification,1,2.18E-05
0363238235_S41_L001_R2_001.fastp.fastq.gz,363238235_R1,Fluorescent Quantification,1,2.18E-05
0363238236_S47_L001_R1_001.fastp.fastq.gz,363238236_R1,Fluorescent Quantification,12534,0.273362768
0363238236_S47_L001_R2_001.fastp.fastq.gz,363238236_R1,Fluorescent Quantification,12534,0.273362768
0363238237_S69_L001_R1_001.fastp.fastq.gz,363238237_R1,Fluorescent Quantification,17820,0.388648837
0363238237_S69_L001_R2_001.fastp.fastq.gz,363238237_R1,Fluorescent Quantification,17820,0.388648837
0363238238_S92_L001_R1_001.fastp.fastq.gz,363238238_R1,Fluorescent Quantification,6547,0.1427881
0363238238_S92_L001_R2_001.fastp.fastq.gz,363238238_R1,Fluorescent Quantification,6547,0.1427881
0363238239_S61_L001_R1_001.fastp.fastq.gz,363238239_R1,Fluorescent Quantification,15565,0.339467965
0363238239_S61_L001_R2_001.fastp.fastq.gz,363238239_R1,Fluorescent Quantification,15565,0.339467965
0363238240_S44_L001_R1_001.fastp.fastq.gz,363238240_R1,Fluorescent Quantification,10883,0.237354955
0363238240_S44_L001_R2_001.fastp.fastq.gz,363238240_R1,Fluorescent Quantification,10883,0.237354955
0363238243_S60_L001_R1_001.fastp.fastq.gz,363238243_R1,Fluorescent Quantification,5717,0.124686049
0363238243_S60_L001_R2_001.fastp.fastq.gz,363238243_R1,Fluorescent Quantification,5717,0.124686049
0363238244_S85_L001_R1_001.fastp.fastq.gz,363238244_R1,Fluorescent Quantification,11896,0.25944818
0363238244_S85_L001_R2_001.fastp.fastq.gz,363238244_R1,Fluorescent Quantification,11896,0.25944818
0363238245_S29_L001_R1_001.fastp.fastq.gz,363238245_R1,Fluorescent Quantification,20364,0.444132711
0363238245_S29_L001_R2_001.fastp.fastq.gz,363238245_R1,Fluorescent Quantification,20364,0.444132711
0363238247_S30_L001_R1_001.fastp.fastq.gz,363238247_R1,Fluorescent Quantification,12751,0.278095472
0363238247_S30_L001_R2_001.fastp.fastq.gz,363238247_R1,Fluorescent Quantification,12751,0.278095472
0363238248_S10_L001_R1_001.fastp.fastq.gz,363238248_R1,Fluorescent Quantification,4823,0.105188178
0363238248_S10_L001_R2_001.fastp.fastq.gz,363238248_R1,Fluorescent Quantification,4823,0.105188178
0363238251_S54_L001_R1_001.fastp.fastq.gz,363238251_R1,Fluorescent Quantification,4303,0.093847135
0363238251_S54_L001_R2_001.fastp.fastq.gz,363238251_R1,Fluorescent Quantification,4303,0.093847135
0363238252_S8_L001_R1_001.fastp.fastq.gz,363238252_R1,Fluorescent Quantification,9623,0.209874734
0363238252_S8_L001_R2_001.fastp.fastq.gz,363238252_R1,Fluorescent Quantification,9623,0.209874734
0363238253_S15_L001_R1_001.fastp.fastq.gz,363238253_R1,Fluorescent Quantification,2027,0.04420826
0363238253_S15_L001_R2_001.fastp.fastq.gz,363238253_R1,Fluorescent Quantification,2027,0.04420826
0363238254_S340_L001_R1_001.fastp.fastq.gz,363238254_R1,Fluorescent Quantification,12202,0.266121948
0363238254_S340_L001_R2_001.fastp.fastq.gz,363238254_R1,Fluorescent Quantification,12202,0.266121948
0363238255_S50_L001_R1_001.fastp.fastq.gz,363238255_R1,Fluorescent Quantification,5821,0.126954258
0363238255_S50_L001_R2_001.fastp.fastq.gz,363238255_R1,Fluorescent Quantification,5821,0.126954258
0363238256_S58_L001_R1_001.fastp.fastq.gz,363238256_R1,Fluorescent Quantification,11929,0.2601679
0363238256_S58_L001_R2_001.fastp.fastq.gz,363238256_R1,Fluorescent Quantification,11929,0.2601679
0363238259_S43_L001_R1_001.fastp.fastq.gz,363238259_R1,Fluorescent Quantification,159,0.003467742
0363238259_S43_L001_R2_001.fastp.fastq.gz,363238259_R1,Fluorescent Quantification,159,0.003467742
0363238260_S13_L001_R1_001.fastp.fastq.gz,363238260_R1,Fluorescent Quantification,7820,0.170551846
0363238260_S13_L001_R2_001.fastp.fastq.gz,363238260_R1,Fluorescent Quantification,7820,0.170551846
0363238262_S21_L001_R1_001.fastp.fastq.gz,363238262_R1,Fluorescent Quantification,4713,0.102789112
0363238262_S21_L001_R2_001.fastp.fastq.gz,363238262_R1,Fluorescent Quantification,4713,0.102789112
0363238263_S77_L001_R1_001.fastp.fastq.gz,363238263_R1,Fluorescent Quantification,15766,0.343851715
0363238263_S77_L001_R2_001.fastp.fastq.gz,363238263_R1,Fluorescent Quantification,15766,0.343851715
0363238264_S51_L001_R1_001.fastp.fastq.gz,363238264_R1,Fluorescent Quantification,8498,0.185338822
0363238264_S51_L001_R2_001.fastp.fastq.gz,363238264_R1,Fluorescent Quantification,8498,0.185338822
0363238267_S23_L001_R1_001.fastp.fastq.gz,363238267_R1,Fluorescent Quantification,6038,0.131686963
0363238267_S23_L001_R2_001.fastp.fastq.gz,363238267_R1,Fluorescent Quantification,6038,0.131686963
0363238268_S63_L001_R1_001.fastp.fastq.gz,363238268_R1,Fluorescent Quantification,8488,0.185120725
0363238268_S63_L001_R2_001.fastp.fastq.gz,363238268_R1,Fluorescent Quantification,8488,0.185120725
0363238269_S7_L001_R1_001.fastp.fastq.gz,363238269_R1,Fluorescent Quantification,9724,0.212077513
0363238269_S7_L001_R2_001.fastp.fastq.gz,363238269_R1,Fluorescent Quantification,9724,0.212077513
0363238270_S45_L001_R1_001.fastp.fastq.gz,363238270_R1,Fluorescent Quantification,27031,0.589537975
0363238270_S45_L001_R2_001.fastp.fastq.gz,363238270_R1,Fluorescent Quantification,27031,0.589537975
0363238271_S339_L001_R1_001.fastp.fastq.gz,363238271_R1,Fluorescent Quantification,6304,0.137488343
0363238271_S339_L001_R2_001.fastp.fastq.gz,363238271_R1,Fluorescent Quantification,6304,0.137488343
0363238276_S55_L001_R1_001.fastp.fastq.gz,363238276_R1,Fluorescent Quantification,4561,0.099474037
0363238276_S55_L001_R2_001.fastp.fastq.gz,363238276_R1,Fluorescent Quantification,4561,0.099474037
0363238277_S16_L001_R1_001.fastp.fastq.gz,363238277_R1,Fluorescent Quantification,3762,0.082048088
0363238277_S16_L001_R2_001.fastp.fastq.gz,363238277_R1,Fluorescent Quantification,3762,0.082048088
0363238280_S42_L001_R1_001.fastp.fastq.gz,363238280_R1,Fluorescent Quantification,9164,0.199864082
0363238280_S42_L001_R2_001.fastp.fastq.gz,363238280_R1,Fluorescent Quantification,9164,0.199864082
0363238283_S18_L001_R1_001.fastp.fastq.gz,363238283_R1,Fluorescent Quantification,3404,0.074240216
0363238283_S18_L001_R2_001.fastp.fastq.gz,363238283_R1,Fluorescent Quantification,3404,0.074240216
0363238285_S67_L001_R1_001.fastp.fastq.gz,363238285_R1,Fluorescent Quantification,11529,0.25144402
0363238285_S67_L001_R2_001.fastp.fastq.gz,363238285_R1,Fluorescent Quantification,11529,0.25144402
0363238287_S81_L001_R1_001.fastp.fastq.gz,363238287_R1,Fluorescent Quantification,6181,0.13480575
0363238287_S81_L001_R2_001.fastp.fastq.gz,363238287_R1,Fluorescent Quantification,6181,0.13480575
0363238288_S73_L001_R1_001.fastp.fastq.gz,363238288_R1,Fluorescent Quantification,11222,0.244748443
0363238288_S73_L001_R2_001.fastp.fastq.gz,363238288_R1,Fluorescent Quantification,11222,0.244748443
0363238291_S14_L001_R1_001.fastp.fastq.gz,363238291_R1,Fluorescent Quantification,3038,0.066257866
0363238291_S14_L001_R2_001.fastp.fastq.gz,363238291_R1,Fluorescent Quantification,3038,0.066257866
0363238293_S62_L001_R1_001.fastp.fastq.gz,363238293_R1,Fluorescent Quantification,6090,0.132821067
0363238293_S62_L001_R2_001.fastp.fastq.gz,363238293_R1,Fluorescent Quantification,6090,0.132821067
0363238299_S53_L001_R1_001.fastp.fastq.gz,363238299_R1,Fluorescent Quantification,13366,0.291508437
0363238299_S53_L001_R2_001.fastp.fastq.gz,363238299_R1,Fluorescent Quantification,13366,0.291508437
0363238987_S301_L001_R1_001.fastp.fastq.gz,363238987_R1,Fluorescent Quantification,5902,0.128720844
0363238987_S301_L001_R2_001.fastp.fastq.gz,363238987_R1,Fluorescent Quantification,5902,0.128720844
0363238996_S296_L001_R1_001.fastp.fastq.gz,363238996_R1,Fluorescent Quantification,5609,0.122330602
0363238996_S296_L001_R2_001.fastp.fastq.gz,363238996_R1,Fluorescent Quantification,5609,0.122330602
0363239004_S307_L001_R1_001.fastp.fastq.gz,363239004_R1,Fluorescent Quantification,7880,0.171860428
0363239004_S307_L001_R2_001.fastp.fastq.gz,363239004_R1,Fluorescent Quantification,7880,0.171860428
0363239066_S302_L001_R1_001.fastp.fastq.gz,363239066_R1,Fluorescent Quantification,4376,0.095439243
0363239066_S302_L001_R2_001.fastp.fastq.gz,363239066_R1,Fluorescent Quantification,4376,0.095439243
0363239067_S299_L001_R1_001.fastp.fastq.gz,363239067_R1,Fluorescent Quantification,4281,0.093367322
0363239067_S299_L001_R2_001.fastp.fastq.gz,363239067_R1,Fluorescent Quantification,4281,0.093367322
0363240084_S303_L001_R1_001.fastp.fastq.gz,363240084_R1,Fluorescent Quantification,4278,0.093301892
0363240084_S303_L001_R2_001.fastp.fastq.gz,363240084_R1,Fluorescent Quantification,4278,0.093301892
0363240093_S304_L001_R1_001.fastp.fastq.gz,363240093_R1,Fluorescent Quantification,1900,0.041438428
0363240093_S304_L001_R2_001.fastp.fastq.gz,363240093_R1,Fluorescent Quantification,1900,0.041438428
0363146967_S322_L001_R1_001.fastp.fastq.gz,363146967_R1,Fluorescent Quantification,0,0
0363146967_S322_L001_R2_001.fastp.fastq.gz,363146967_R1,Fluorescent Quantification,0,0
0363236848_S145_L001_R1_001.fastp.fastq.gz,363236848_R1,Fluorescent Quantification,0,0
0363236848_S145_L001_R2_001.fastp.fastq.gz,363236848_R1,Fluorescent Quantification,0,0
