Category,Sample,method,total_reads,proportion
0363146978_S289_L001_R2_001.fastp.fastq.gz,363146978_R1,Fluorescent Quantification,2125,0.04634561
0363146983_S291_L001_R1_001.fastp.fastq.gz,363146983_R1,Fluorescent Quantification,15270,0.333034104
0363146983_S291_L001_R2_001.fastp.fastq.gz,363146983_R1,Fluorescent Quantification,15270,0.333034104
0363146984_S20_L001_R1_001.fastp.fastq.gz,363146984_R1,Fluorescent Quantification,5618,0.122526889
0363146984_S20_L001_R2_001.fastp.fastq.gz,363146984_R1,Fluorescent Quantification,5618,0.122526889
0363146985_S84_L001_R1_001.fastp.fastq.gz,363146985_R1,Fluorescent Quantification,5714,0.12462062
0363146985_S84_L001_R2_001.fastp.fastq.gz,363146985_R1,Fluorescent Quantification,5714,0.12462062
0363146986_S86_L001_R1_001.fastp.fastq.gz,363146986_R1,Fluorescent Quantification,4786,0.10438122
0363146986_S86_L001_R2_001.fastp.fastq.gz,363146986_R1,Fluorescent Quantification,4786,0.10438122
0363146987_S17_L001_R1_001.fastp.fastq.gz,363146987_R1,Fluorescent Quantification,4590,0.100106519
0363146987_S17_L001_R2_001.fastp.fastq.gz,363146987_R1,Fluorescent Quantification,4590,0.100106519
0363146989_S76_L001_R1_001.fastp.fastq.gz,363146989_R1,Fluorescent Quantification,30179,0.658194907
0363146989_S76_L001_R2_001.fastp.fastq.gz,363146989_R1,Fluorescent Quantification,30179,0.658194907
0363146992_S306_L001_R1_001.fastp.fastq.gz,363146992_R1,Fluorescent Quantification,7906,0.172427481
0363146992_S306_L001_R2_001.fastp.fastq.gz,363146992_R1,Fluorescent Quantification,7906,0.172427481
0363146993_S293_L001_R1_001.fastp.fastq.gz,363146993_R1,Fluorescent Quantification,6239,0.136070712
0363146993_S293_L001_R2_001.fastp.fastq.gz,363146993_R1,Fluorescent Quantification,6239,0.136070712
0363146994_S361_L001_R1_001.fastp.fastq.gz,363146994_R1,Fluorescent Quantification,3768,0.082178946
0363146994_S361_L001_R2_001.fastp.fastq.gz,363146994_R1,Fluorescent Quantification,3768,0.082178946
0363146995_S292_L001_R1_001.fastp.fastq.gz,363146995_R1,Fluorescent Quantification,10320,0.225076094
0363146995_S292_L001_R2_001.fastp.fastq.gz,363146995_R1,Fluorescent Quantification,10320,0.225076094
0363146996_S297_L001_R1_001.fastp.fastq.gz,363146996_R1,Fluorescent Quantification,2867,0.062528407
0363146996_S297_L001_R2_001.fastp.fastq.gz,363146996_R1,Fluorescent Quantification,2867,0.062528407
0363146997_S337_L001_R1_001.fastp.fastq.gz,363146997_R1,Fluorescent Quantification,10137,0.221084919
0363146997_S337_L001_R2_001.fastp.fastq.gz,363146997_R1,Fluorescent Quantification,10137,0.221084919
0363147001_S93_L001_R1_001.fastp.fastq.gz,363147001_R1,Fluorescent Quantification,3766,0.082135327
0363147001_S93_L001_R2_001.fastp.fastq.gz,363147001_R1,Fluorescent Quantification,3766,0.082135327
0363147004_S57_L001_R1_001.fastp.fastq.gz,363147004_R1,Fluorescent Quantification,4905,0.106976574
0363147004_S57_L001_R2_001.fastp.fastq.gz,363147004_R1,Fluorescent Quantification,4905,0.106976574
0363147005_S25_L001_R1_001.fastp.fastq.gz,363147005_R1,Fluorescent Quantification,13065,0.284943718
0363147005_S25_L001_R2_001.fastp.fastq.gz,363147005_R1,Fluorescent Quantification,13065,0.284943718
0363147006_S26_L001_R1_001.fastp.fastq.gz,363147006_R1,Fluorescent Quantification,14066,0.306775227
0363147006_S26_L001_R2_001.fastp.fastq.gz,363147006_R1,Fluorescent Quantification,14066,0.306775227
0363147010_S330_L001_R1_001.fastp.fastq.gz,363147010_R1,Fluorescent Quantification,8407,0.18335414
0363147010_S330_L001_R2_001.fastp.fastq.gz,363147010_R1,Fluorescent Quantification,8407,0.18335414
0363147011_S295_L001_R1_001.fastp.fastq.gz,363147011_R1,Fluorescent Quantification,4590,0.100106519
0363147011_S295_L001_R2_001.fastp.fastq.gz,363147011_R1,Fluorescent Quantification,4590,0.100106519
0363147012_S329_L001_R1_001.fastp.fastq.gz,363147012_R1,Fluorescent Quantification,5406,0.117903233
0363147012_S329_L001_R2_001.fastp.fastq.gz,363147012_R1,Fluorescent Quantification,5406,0.117903233
0363148362_S360_L001_R1_001.fastp.fastq.gz,363148362_R1,Fluorescent Quantification,2791,0.06087087
0363148362_S360_L001_R2_001.fastp.fastq.gz,363148362_R1,Fluorescent Quantification,2791,0.06087087
0363148363_S196_L001_R1_001.fastp.fastq.gz,363148363_R1,Fluorescent Quantification,5123,0.111731088
0363148363_S196_L001_R2_001.fastp.fastq.gz,363148363_R1,Fluorescent Quantification,5123,0.111731088
0363148365_S260_L001_R1_001.fastp.fastq.gz,363148365_R1,Fluorescent Quantification,19509,0.425485418
0363148365_S260_L001_R2_001.fastp.fastq.gz,363148365_R1,Fluorescent Quantification,19509,0.425485418
0363148366_S267_L001_R1_001.fastp.fastq.gz,363148366_R1,Fluorescent Quantification,2805,0.061176206
0363148366_S267_L001_R2_001.fastp.fastq.gz,363148366_R1,Fluorescent Quantification,2805,0.061176206
0363148367_S149_L001_R1_001.fastp.fastq.gz,363148367_R1,Fluorescent Quantification,630,0.01374011
0363148367_S149_L001_R2_001.fastp.fastq.gz,363148367_R1,Fluorescent Quantification,630,0.01374011
0363148368_S367_L001_R1_001.fastp.fastq.gz,363148368_R1,Fluorescent Quantification,6940,0.151359311
0363148368_S367_L001_R2_001.fastp.fastq.gz,363148368_R1,Fluorescent Quantification,6940,0.151359311
0363148369_S217_L001_R1_001.fastp.fastq.gz,363148369_R1,Fluorescent Quantification,4535,0.098906985
0363148369_S217_L001_R2_001.fastp.fastq.gz,363148369_R1,Fluorescent Quantification,4535,0.098906985
0363148370_S147_L001_R1_001.fastp.fastq.gz,363148370_R1,Fluorescent Quantification,11326,0.247016651
0363148370_S147_L001_R2_001.fastp.fastq.gz,363148370_R1,Fluorescent Quantification,11326,0.247016651
0363148371_S268_L001_R1_001.fastp.fastq.gz,363148371_R1,Fluorescent Quantification,5585,0.121807169
0363148371_S268_L001_R2_001.fastp.fastq.gz,363148371_R1,Fluorescent Quantification,5585,0.121807169
0363148372_S220_L001_R1_001.fastp.fastq.gz,363148372_R1,Fluorescent Quantification,8480,0.184946248
0363148372_S220_L001_R2_001.fastp.fastq.gz,363148372_R1,Fluorescent Quantification,8480,0.184946248
0363148373_S265_L001_R1_001.fastp.fastq.gz,363148373_R1,Fluorescent Quantification,3611,0.078754823
0363148373_S265_L001_R2_001.fastp.fastq.gz,363148373_R1,Fluorescent Quantification,3611,0.078754823
0363148374_S253_L001_R1_001.fastp.fastq.gz,363148374_R1,Fluorescent Quantification,17417,0.379859528
0363148374_S253_L001_R2_001.fastp.fastq.gz,363148374_R1,Fluorescent Quantification,17417,0.379859528
0363148375_S103_L001_R1_001.fastp.fastq.gz,363148375_R1,Fluorescent Quantification,1463,0.03190759
0363148375_S103_L001_R2_001.fastp.fastq.gz,363148375_R1,Fluorescent Quantification,1463,0.03190759
0363148376_S255_L001_R1_001.fastp.fastq.gz,363148376_R1,Fluorescent Quantification,9156,0.199689604
0363148376_S255_L001_R2_001.fastp.fastq.gz,363148376_R1,Fluorescent Quantification,9156,0.199689604
